kum,nog,tat,lzg,agh,tab,rut,tkh,arc,lak,drgw,ava,khv,kar
29,29,29,41,46,46,42,50,57,46,50,47,58,56
29,28,30,41,51,45,41,46,59,47,48,46,52,55
32,32,32,41,50,43,38,49,58,45,46,48,51,55
29,30,30,42,46,44,42,49,58,45,45,48,50,55
31,30,31,39,52,46,42,46,58,46,45,48,53,56
30,30,31,40,45,43,40,45,60,44,43,49,49,55
30,31,32,43,47,45,39,46,59,44,43,46,52,53
31,29,29,41,45,46,40,47,58,47,49,48,48,56
32,30,30,42,45,46,40,51,59,45,51,51,52,54
30,30,30,43,49,47,45,49,59,45,46,46,54,54
29,28,30,42,48,45,42,49,56,45,48,49,49,55
29,30,29,39,48,45,43,47,57,48,46,48,50,57
31,29,30,44,48,45,42,48,57,43,46,46,53,54
30,30,29,42,46,42,43,50,58,44,49,46,51,56
30,31,30,45,47,47,42,51,58,46,44,45,52,52
31,31,29,43,48,48,45,48,58,45,47,49,54,53
31,30,30,44,50,43,40,49,58,47,47,49,50,55
31,29,30,43,45,46,43,48,57,46,41,45,49,55
30,30,30,42,50,45,43,50,58,46,47,43,50,55
30,29,30,41,45,46,41,49,56,47,50,50,51,55
30,30,31,40,48,46,43,49,58,45,44,49,54,56
31,30,30,42,48,46,43,47,58,47,49,48,48,58
29,29,30,43,49,46,41,50,58,44,50,46,49,54
30,32,29,42,48,45,38,49,59,44,45,43,52,54
31,30,31,42,47,46,45,45,55,47,49,44,51,57
30,32,32,43,46,49,39,48,56,43,44,46,50,54
29,28,29,40,50,46,42,48,57,44,44,49,49,55
31,29,31,45,48,44,41,51,59,44,43,46,52,57
32,28,30,40,46,43,40,51,62,45,44,49,50,53
29,30,31,38,47,47,42,49,59,44,50,48,50,54
31,31,30,39,50,45,41,49,58,47,45,47,54,54
29,30,32,43,45,47,42,47,59,47,47,47,51,54
30,30,29,44,47,46,43,49,57,47,47,49,52,56
30,30,30,41,48,45,42,49,63,45,49,49,47,55
30,31,33,42,46,44,41,48,60,45,42,45,52,54
30,30,30,41,48,43,43,45,60,46,42,47,54,55
30,30,31,42,46,44,43,46,60,45,48,43,51,55
30,31,31,42,48,46,44,51,60,46,50,44,54,56
29,30,30,39,48,43,44,48,63,45,44,49,52,53
30,30,30,43,50,43,40,51,58,44,40,45,50,57
32,29,30,43,46,45,41,48,60,45,50,49,50,55
30,33,31,42,48,46,40,47,58,44,45,48,52,56
31,29,32,43,47,45,45,53,61,49,46,45,51,54
30,30,30,43,49,43,41,49,59,46,46,47,54,55
31,31,30,42,52,45,42,49,58,46,44,47,49,56
30,30,32,43,45,45,44,47,61,47,48,45,51,53
31,31,29,43,48,45,45,50,58,44,46,47,54,56
31,29,29,41,47,47,41,48,61,47,46,49,50,55
30,30,29,42,47,43,42,50,59,45,47,47,54,56
30,29,29,41,46,48,42,49,56,46,48,46,53,54
29,29,29,42,50,45,44,50,61,45,46,47,53,56
32,31,31,43,46,45,43,48,61,47,48,48,48,56
30,28,34,40,48,46,40,48,58,46,44,46,54,53
33,29,30,43,49,48,44,46,59,44,46,46,54,57
30,32,29,43,46,45,42,50,59,48,46,48,53,55
30,29,32,42,46,48,44,46,59,45,44,48,51,56
31,32,31,42,50,44,39,47,59,46,46,47,52,56
30,29,31,39,44,49,43,46,57,49,49,49,51,55
31,31,32,41,48,46,47,44,55,47,45,47,54,56
30,31,31,39,48,49,40,50,61,44,46,48,49,59
31,30,29,43,47,45,42,50,57,46,48,48,47,55
30,30,33,42,45,47,46,53,57,47,47,46,54,54
30,30,31,44,50,45,41,50,57,45,44,45,50,57
31,29,31,42,50,44,42,51,56,46,46,46,51,55
30,30,30,42,50,43,43,47,63,48,45,49,51,54
29,29,31,42,47,44,43,48,59,46,45,47,54,54
30,30,31,42,50,43,41,50,59,46,53,46,49,54
30,30,29,42,51,45,45,48,57,45,51,51,55,53
30,29,30,41,50,45,40,47,60,46,46,50,52,54
32,30,31,42,47,45,40,47,61,48,44,49,49,57
30,29,31,40,45,47,43,46,61,43,44,46,54,53
30,29,31,43,50,46,39,51,63,46,44,46,49,56
30,29,32,42,46,46,43,47,58,46,48,48,51,56
31,30,31,41,49,46,42,47,56,48,43,49,54,53
30,30,31,42,49,47,43,52,56,43,42,46,52,54
