['untie', 3]
['wheat', 3]
['thirty', 3]
['hungry', 3]
['showed', 3]
['splendour', 3]
['lift', 3]
['countryside', 3]
['continued', 3]
['sky', 3]
['land', 3]
['destroy', 3]
['quiet', 3]
['surrounding', 3]
['mother-in-law', 3]
['wait', 3]
['kinds', 3]
['shouting', 3]
['daybreak', 3]
['towns', 3]
['ve', 3]
['number', 3]
['covered', 3]
['face', 3]
['often', 3]
['withdrew', 3]
['carrying', 3]
['mat', 3]
['middle', 3]
['easier', 3]
['levi', 3]
['held', 3]
['tears', 3]
['piece', 3]
['wineskins', 3]
['grain', 3]
['lawful', 3]
['watched', 3]
['tyre', 3]
['insult', 3]
['credit', 3]
['repaid', 3]
['condemn', 3]
['use', 3]
['lead', 3]
['fully', 3]
['speck', 3]
['plank', 3]
['bad', 3]
['recognised', 3]
['practice', 3]
['foundation', 3]
['struck', 3]
['deserve', 3]
['messengers', 3]
['lame', 3]
['stumble', 3]
['wind', 3]
['fine', 3]
['wear', 3]
['compare', 3]
['reclined', 3]
['jar', 3]
['perfume', 3]
['hair', 3]
['towards', 3]
['kiss', 3]
['oil', 3]
['proclaiming', 3]
['seeing', 3]
['meaning', 3]
['lights', 3]
['bed', 3]
['wanting', 3]
['asleep', 3]
['obey', 3]
['tombs', 3]
['broken', 3]
['reported', 3]
['leader', 3]
['stop', 3]
['knowing', 3]
['welcome', 3]
['ago', 3]
['loaves', 3]
['unless', 3]
['disciple', 3]
['ashamed', 3]
['leaves', 3]
['samaritan', 3]
['family', 3]
['purse', 3]
['rest', 3]
['streets', 3]
['judgment', 3]
['kings', 3]
['wanted', 3]
['neighbour', 3]
['jericho', 3]
['pity', 3]
['sister', 3]
['preparations', 3]
['work', 3]
['temptation', 3]
['seek', 3]
['beelzebul', 3]
['itself', 3]
['trusted', 3]
['rather', 3]
['south', 3]
['solomon', 3]
['within', 3]
['important', 3]
['carry', 3]
['ear', 3]
['tomorrow', 3]
['sell', 3]
['treasure', 3]
['watching', 3]
['blows', 3]
['adversary', 3]
['try', 3]
['galileans', 3]
['perish', 3]
['eighteen', 3]
['fig-tree', 3]
['crippled', 3]
['doesn', 3]
['bound', 3]
['planted', 3]
['invite', 3]
['m', 3]
['quickly', 3]
['enough', 3]
['calls', 3]
['hired', 3]
['fattened', 3]
['calf', 3]
['always', 3]
['second', 3]
['dishonest', 3]
['trustworthy', 3]
['adultery', 3]
['linen', 3]
['sea', 3]
['small', 3]
['murder', 3]
['zacchaeus', 3]
['untying', 3]
['question', 3]
['discussed', 3]
['talked', 3]
['hoped', 3]
['marry', 3]
['punished', 3]
['nations', 3]
['pass', 3]
['early', 3]
['serves', 3]
['cock', 3]
['swords', 3]
['criminals', 3]
['scriptures', 3]
['witnesses', 2]
['decided', 2]
['descendant', 2]
['commands', 2]
['duty', 2]
['according', 2]
['burn', 2]
['assembled', 2]
['altar', 2]
['startled', 2]
['sure', 2]
['gabriel', 2]
['vision', 2]
['completed', 2]
['pregnant', 2]
['months', 2]
['sixth', 2]
['month', 2]
['pledged', 2]
['greetings', 2]
['favoured', 2]
['greatly', 2]
['wondered', 2]
['reign', 2]
['hurried', 2]
['greeted', 2]
['leaped', 2]
['womb', 2]
['soon', 2]
['sound', 2]
['eighth', 2]
['circumcise', 2]
['wrote', 2]
['tongue', 2]
['publicly', 2]
['census', 2]
['register', 2]
['bethlehem', 2]
['firstborn', 2]
['cloths', 2]
['placed', 2]
['fields', 2]
['company', 2]
['heavenly', 2]
['treasured', 2]
['consecrated', 2]
['arms', 2]
['falling', 2]
['rising', 2]
['soul', 2]
['worshipped', 2]
['moment', 2]
['forward', 2]
['redemption', 2]
['answers', 2]
['searching', 2]
['philip', 2]
['during', 2]
['jordan', 2]
['forgiveness', 2]
['book', 2]
['isaiah', 2]
['roads', 2]
['salvation', 2]
['warned', 2]
['flee', 2]
['wrath', 2]
['raise', 2]
['root', 2]
['trees', 2]
['share', 2]
['baptise', 2]
['powerful', 2]
['barn', 2]
['locked', 2]
['worship', 2]
['strike', 2]
['foot', 2]
['test', 2]
['scroll', 2]
['prisoners', 2]
['rolled', 2]
['lips', 2]
['widows', 2]
['half', 2]
['severe', 2]
['famine', 2]
['furious', 2]
['walked', 2]
['cried', 2]
['top', 2]
['orders', 2]
['suffering', 2]
['fever', 2]
['bent', 2]
['various', 2]
['solitary', 2]
['crowding', 2]
['edge', 2]
['shore', 2]
['deep', 2]
['worked', 2]
['haven', 2]
['caught', 2]
['partners', 2]
['sinful', 2]
['sons', 2]
['sacrifices', 2]
['commanded', 2]
['illnesses', 2]
['paralysed', 2]
['roof', 2]
['fellow', 2]
['healthy', 2]
['bridegroom', 2]
['garment', 2]
['patch', 2]
['otherwise', 2]
['torn', 2]
['ruined', 2]
['pick', 2]
['corn', 2]
['shrivelled', 2]
['closely', 2]
['spent', 2]
['iscariot', 2]
['touch', 2]
['satisfied', 2]
['laugh', 2]
['reward', 2]
['false', 2]
['shirt', 2]
['belongs', 2]
['demand', 2]
['merciful', 2]
['judged', 2]
['measure', 2]
['shaken', 2]
['running', 2]
['above', 2]
['bears', 2]
['brings', 2]
['stored', 2]
['hears', 2]
['building', 2]
['rock', 2]
['flood', 2]
['torrent', 2]
['shake', 2]
['complete', 2]
['pleaded', 2]
['earnestly', 2]
['deserves', 2]
['loves', 2]
['far', 2]
['turning', 2]
['gate', 2]
['carried', 2]
['baptist', 2]
['luxury', 2]
['dinner', 2]
['weeping', 2]
['wet', 2]
['wiped', 2]
['kissed', 2]
['owed', 2]
['denarii', 2]
['fifty', 2]
['bigger', 2]
['correctly', 2]
['magdalene', 2]
['joanna', 2]
['gathering', 2]
['path', 2]
['trampled', 2]
['rocky', 2]
['plants', 2]
['thorns', 2]
['choked', 2]
['yielded', 2]
['crop', 2]
['meant', 2]
['knowledge', 2]
['stands', 2]
['riches', 2]
['noble', 2]
['disclosed', 2]
['concealed', 2]
['sailed', 2]
['re', 2]
['amazement', 2]
['gerasenes', 2]
['demon-possessed', 2]
['seized', 2]
['herd', 2]
['overcome', 2]
['pleading', 2]
['almost', 2]
['bleeding', 2]
['cloak', 2]
['denied', 2]
['bother', 2]
['wailing', 2]
['journey', 2]
['extra', 2]
['whatever', 2]
['dust', 2]
