['злое', 2]
['избытка', 2]
['положил', 2]
['наперла', 2]
['слугу', 2]
['достоин', 2]
['сотник', 2]
['идущему', 2]
['такой', 2]
['посланные', 2]
['остановились', 2]
['великий', 2]
['восстал', 2]
['окрестности', 2]
['возвестили', 2]
['ожидать', 2]
['которому', 2]
['злых', 2]
['ходят', 2]
['мертвые', 2]
['посланных', 2]
['одетого', 2]
['посылаю', 2]
['крестителя', 2]
['меньший', 2]
['крещением', 2]
['отвергли', 2]
['кем', 2]
['пьет', 2]
['ест', 2]
['вкусить', 2]
['фарисея', 2]
['грешница', 2]
['слезами', 2]
['волосами', 2]
['пятьдесят', 2]
['простил', 2]
['думаю', 2]
['правильно', 2]
['эту', 2]
['благовествуя', 2]
['имением', 2]
['сеять', 2]
['сеял', 2]
['взойдя', 2]
['выросло', 2]
['терние', 2]
['добрую', 2]
['притча', 2]
['знать', 2]
['прочим', 2]
['видят', 2]
['слушающие', 2]
['заботами', 2]
['богатством', 2]
['житейскими', 2]
['приносят', 2]
['зажегши', 2]
['свечу', 2]
['сосудом', 2]
['ставит', 2]
['входящие', 2]
['тайного', 2]
['сделалось', 2]
['сокровенного', 2]
['наблюдайте', 2]
['учениками', 2]
['ветер', 2]
['ваша', 2]
['страхе', 2]
['воде', 2]
['бесами', 2]
['умоляю', 2]
['нечистому', 2]
['духу', 2]
['происшедшее', 2]
['пав', 2]
['ногам', 2]
['рыдали', 2]
['смеялись', 2]
['созвав', 2]
['врачевать', 2]
['берите', 2]
['серебра', 2]
['войдете', 2]
['выходя', 2]
['прах', 2]
['услышал', 2]
['делал', 2]
['иные', 2]
['древних', 2]
['слышу', 2]
['апостолы', 2]
['особо', 2]
['близ', 2]
['исцеления', 2]
['вечеру', 2]
['отпусти', 2]
['приказал', 2]
['человеческому', 2]
['отвержену', 2]
['старейшинами', 2]
['первосвященниками', 2]
['крест', 2]
['постыдится', 2]
['увидят', 2]
['лица', 2]
['следующий', 2]
['неверный', 2]
['приведи', 2]
['человеческие', 2]
['боялись', 2]
['дитя', 2]
['пославшего', 2]
['меньше', 2]
['ходит', 2]
['приближались', 2]
['сошел', 2]
['истребил', 2]
['позволь', 2]
['семьдесят', 2]
['жатвы', 2]
['делателей', 2]
['идите', 2]
['среди', 2]
['мешка', 2]
['сперва', 2]
['ешьте', 2]
['придете', 2]
['отраднее', 2]
['городу', 2]
['давно', 2]
['покаялись', 2]
['суде', 2]
['отвергающийся', 2]
['отвергается', 2]
['радуйтесь', 2]
['видящие', 2]
['цари', 2]
['слышите', 2]
['искушая', 2]
['вечную', 2]
['всею', 2]
['поступай', 2]
['ближний', 2]
['иерихон', 2]
['разбойникам', 2]
['случаю', 2]
['прошел', 2]
['самарянин', 2]
['отдам', 2]
['сестра', 2]
['нужды', 2]
['молиться', 2]
['воля', 2]
['дороги', 2]
['зашел', 2]
['двери', 2]
['встанет', 2]
['отворят', 2]
['находит', 2]
['умеете', 2]
['вашим', 2]
['перстом', 2]
['возьмет', 2]
['надеялся', 2]
['собирает', 2]
['расточает', 2]
['покоя', 2]
['чрево', 2]
['сосцы', 2]
['ионы', 2]
['восстанет', 2]
['суд', 2]
['приходила', 2]
['родом', 2]
['око', 2]
['чисто', 2]
['тьма', 2]
['рук', 2]
['милостыню', 2]
['фарисеям', 2]
['божией', 2]
['председания', 2]
['народных', 2]
['собраниях', 2]
['лицемеры', 2]
['законников', 2]
['законникам', 2]
['строите', 2]
['гробницы', 2]
['избили', 2]
['делах', 2]
['убьют', 2]
['взыщется', 2]
['кровь', 2]
['уловить', 2]
['собрались', 2]
['ухо', 2]
['всякого', 2]
['исповедает', 2]
['человеками', 2]
['божиими', 2]
['заботьтесь', 2]
['разделил', 2]
['наследство', 2]
['смотрите', 2]
['жизнь', 2]
['собрать', 2]
['плодов', 2]
['большие', 2]
['ешь', 2]
['пей', 2]
['вашей', 2]
['одевался', 2]
['благоволил', 2]
['вор', 2]
['приближается', 2]
['подходя', 2]
['верный', 2]
['скоро', 2]
['начнет', 2]
['слуг', 2]
['готов', 2]
['бит', 2]
['достойное', 2]
['запада', 2]
['дождь', 2]
['лице', 2]
['начальству', 2]
['покаетесь', 2]
['погибнете', 2]
['этой', 2]
['смоковнице', 2]
['нахожу', 2]
['славить', 2]
['уча', 2]
['неужели', 2]
['возмогут', 2]
['станете', 2]
['исаака', 2]
['первые', 2]
['ходить', 2]
['позволительно', 2]
['звавший', 2]
['возвышающий', 2]
['унижен', 2]
