['подала', 4]
['уверена', 4]
['француженка', 4]
['помните', 4]
['идите', 4]
['приехали', 4]
['дурное', 4]
['будем', 4]
['сказано', 4]
['везде', 4]
['устриц', 4]
['подхватил', 4]
['минут', 4]
['ногти', 4]
['разумеется', 4]
['графине', 4]
['узнаю', 4]
['юношей', 4]
['вполне', 4]
['котором', 4]
['держась', 4]
['оба', 4]
['разговоре', 4]
['домой', 4]
['старших', 4]
['балах', 4]
['ездил', 4]
['рассказала', 4]
['поняла', 4]
['желала', 4]
['самой', 4]
['движений', 4]
['поклонился', 4]
['легче', 4]
['обратилась', 4]
['успела', 4]
['хорошего', 4]
['чрезвычайно', 4]
['петербургский', 4]
['станции', 4]
['пойдемте', 4]
['взяла', 4]
['душенька', 4]
['простила', 4]
['балов', 4]
['бархатка', 4]
['пригласил', 4]
['тур', 4]
['увидала', 4]
['первая', 3]
['каждом', 3]
['записку', 3]
['ушел', 3]
['желая', 3]
['крепко', 3]
['обнял', 3]
['подушку', 3]
['открыл', 3]
['обед', 3]
['какие-то', 3]
['скажешь', 3]
['словами', 3]
['одной', 3]
['ноги', 3]
['месту', 3]
['простит', 3]
['виной', 3]
['отчаянием', 3]
['самые', 3]
['тяжелые', 3]
['вернувшись', 3]
['запиской', 3]
['сидела', 3]
['смотрела', 3]
['людьми', 3]
['неожиданно', 3]
['вместо', 3]
['ответа', 3]
['самому', 3]
['умел', 3]
['ясно', 3]
['вопроса', 3]
['ничем', 3]
['придумать', 3]
['гувернанткой', 3]
['какая', 3]
['нарочно', 3]
['ответ', 3]
['забыться', 3]
['сном', 3]
['крайней', 3]
['мере', 3]
['надел', 3]
['привычным', 3]
['взяв', 3]
['вопросительно', 3]
['приходили', 3]
['понимают', 3]
['говоришь', 3]
['положил', 3]
['добродушно', 3]
['внимание', 3]
['поправляя', 3]
['ручку', 3]
['значение', 3]
['доложить', 3]
['угодно', 3]
['положив', 3]
['покачивая', 3]
['услыхав', 3]
['дверью', 3]
['выходя', 3]
['уныло', 3]
['сделайте', 3]
['матвею', 3]
['удовольствием', 3]
['движением', 3]
['физически', 3]
['веселым', 3]
['столовую', 3]
['рядом', 3]
['кофеем', 3]
['письма', 3]
['необходимо', 3]
['окончив', 3]
['взялся', 3]
['читал', 3]
['направления', 3]
['взглядов', 3]
['незаметно', 3]
['взгляды', 3]
['обществе', 3]
['обыкновенно', 3]
['либеральное', 3]
['направление', 3]
['какого', 3]
['многие', 3]
['круга', 3]
['произошло', 3]
['либеральная', 3]
['денег', 3]
['семейная', 3]
['сделалось', 3]
['туман', 3]
['голове', 3]
['статью', 3]
['кареты', 3]
['молодой', 3]
['вторую', 3]
['калач', 3]
['подойдя', 3]
['поезд', 3]
['духов', 3]
['мальчик', 3]
['значит', 3]
['отцом', 3]
['спрашивая', 3]
['велела', 3]
['просила', 3]
['кому', 3]
['лицу', 3]
['взял', 3]
['отношения', 3]
['придать', 3]
['смелости', 3]
['выпрямил', 3]
['папироску', 3]
['шагами', 3]
['гостиную', 3]
['спальню', 3]
['густых', 3]
['испуганными', 3]
['среди', 3]
['комнате', 3]
['открытою', 3]
['шаги', 3]
['меньшой', 3]
['здоровьем', 3]
['взглядом', 3]
['фигуру', 3]
['доволен', 3]
['любят', 3]
['спокойно', 3]
['судьбе', 3]
['дыхание', 3]
['слушала', 3]
['говорите', 3]
['ваши', 3]
['взялась', 3]
['вину', 3]
['играть', 3]
['связь', 3]
['любили', 3]
['чужой', 3]
['злоба', 3]
['вероятно', 3]
['закричал', 3]
['знают', 3]
['рассказать', 3]
['будете', 3]
['поняв', 3]
['вернулась', 3]
['ответить', 3]
['другим', 3]
['чужие', 3]
['хорошим', 3]
['московских', 3]
['получил', 3]
['алексея', 3]
['александровича', 3]
['мест', 3]
['других', 3]
['лиц', 3]
['сестер', 3]
['родных', 3]
['петербурга', 3]
['треть', 3]
['могли', 3]
['добрый', 3]
['дружелюбно', 3]
['уважение', 3]
['подчиненных', 3]
['во-первых', 3]
['вследствие', 3]
['почтительно', 3]
['найти', 3]
['свободы', 3]
['секретарь', 3]
['бумагами', 3]
['ну-с', 3]
